Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Sample mass
2022_NIABiota_GroupA_Crayfish2,Sample,Pestle,Biota,NIA,PFOS,1.33E+04,2.74,1.10E+02,2.25,6.35E-01
2022_NIABiota_GroupA_MortarBlank,Blank,Pestle,Biota,NIA,PFOS,1.92E+02,2.88,6.69E+02,2.73,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Pestle,Biota,NIA,PFOS,1.57E+03,2.78,5.32E+02,2.75,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFOS,1.82E+03,2.79,1.74E+02,2.81,7.31E-01
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFOS,6.94E+02,2.73,7.40E+02,2.77,8.26E-01
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,1.74E+02,2.79,1.92E+02,2.76,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFOS,1.43E+04,2.79,4.77E+02,2.77,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOS,1.22E+04,2.76,4.41E+02,2.78,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOS,1.06E+03,2.81,4.50E+02,2.76,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFOS,0.00E+00,0,5.19E+02,2.77,1.00E-01
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFOS,1.35E+03,2.82,9.55E+02,2.78,1.00E-01
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFOS,2.11E+03,2.77,1.45E+02,2.8,6.20E-01
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFOS,2.15E+03,2.75,3.76E+02,2.78,6.91E-01
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFOS,0.00E+00,0,3.65E+02,2.81,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFOS,4.07E+03,2.78,1.47E+02,2.87,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFOS,3.71E+03,2.76,2.38E+01,2.85,7.03E-01
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFOS,3.38E+03,2.78,8.39E+01,2.76,8.45E-01
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFOS,1.39E+02,2.68,1.16E+02,2.75,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFOS,7.96E+02,2.75,1.04E+02,2.78,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFOS,5.51E+03,2.76,1.48E+02,2.73,6.74E-01
