Sample Name,Sample type,Sample group,Matrix,Location,Compound,Analyte Peak Area,Analyte Retention Time (min),Internal Standard Peak Area,Internal Standard Retention Time (min),Normalization factor
2021_20MCBiota_GroupH_Crayfish2,Sample,Mortar,Biota,20MC,PFHxA,1303.979215,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupH_Catfish,Sample,Blender,Biota,20MC,PFHxA,1303.979215,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_MortarSpike,Spike,Mortar,Biota,20MC,PFHxA,10877.91391,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_MortarBlank,Blank,Mortar,Biota,20MC,PFHxA,1394.204667,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_BlenderBlank,Blank,Blender,Biota,20MC,PFHxA,1303.979215,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Crayfish,Sample,Mortar,Biota,20MC,PFHxA,2324.172591,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Sunfish,Sample,Blender,Biota,20MC,PFHxA,1889.238343,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Catfish,Sample,Blender,Biota,20MC,PFHxA,2931.387196,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Nymph,Sample,Mortar,Biota,20MC,PFHxA,1303.979215,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Slug,Sample,Blender,Biota,20MC,PFHxA,2255.559156,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Beetle1,Sample,Mortar,Biota,20MC,PFHxA,4916.052829,2.4,3000,2.4,1.00E+00
2021_20MCBiota_GroupI_Beetle2,Sample,Mortar,Biota,20MC,PFHxA,2289.464562,2.4,3000,2.4,1.00E+00
0 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,0.00E+00,2.48,1.32E+05,2.6,1.00E+00
0.2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,2.70E+04,2.5,1.05E+05,2.6,1.00E+00
0.4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,4.62E+04,2.5,1.08E+05,2.6,1.00E+00
1 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,9.94E+04,2.5,1.20E+05,2.61,1.00E+00
2 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,2.27E+05,2.5,1.17E+05,2.61,1.00E+00
4 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,3.34E+05,2.5,1.19E+05,2.62,1.00E+00
10 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,8.14E+05,2.51,1.08E+05,2.62,1.00E+00
20 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,1.88E+06,2.5,9.58E+04,2.62,1.00E+00
40 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,2.90E+06,2.51,8.20E+04,2.61,1.00E+00
100 ng/mL,Calibration Curve,Lab,N/A,N/A,PFHpA,5.23E+06,2.51,6.88E+04,2.62,1.00E+00
2022_20MCWater_FieldBlank,Blank,Field,Water,20MC,PFHpA,8.91E+03,2.51,5.46E+04,2.61,1.00E+00
2022_20MCWater_FieldSpike1,Spike,Field,Water,20MC,PFHpA,2.05E+04,2.5,6.21E+04,2.62,1.00E+00
2022_20MCWater_FieldSpike2,Spike,Field,Water,20MC,PFHpA,2.01E+04,2.52,4.73E+04,2.63,1.00E+00
2022_20MCWater_LabBlank,Blank,Lab,Water,20MC,PFHpA,0.00E+00,0,3.08E+04,2.64,1.00E+00
2022_20MCWater_Sample1,Sample,Field,Water,20MC,PFHpA,7.41E+03,2.52,3.92E+04,2.63,1.00E+00
2022_20MCWater_Sample2,Sample,Field,Water,20MC,PFHpA,7.67E+03,2.51,3.88E+04,2.63,1.00E+00
2022_20MCWater_Sample3,Sample,Field,Water,20MC,PFHpA,4.90E+03,2.51,4.52E+04,2.62,1.00E+00
2022_20MCWater_Sample4,Sample,Field,Water,20MC,PFHpA,5.00E+03,2.52,4.04E+04,2.64,1.00E+00
2022_NIAWater_FieldBlank1,Blank,Field,Water,NIA,PFHpA,4.77E+03,2.53,3.68E+04,2.62,1.00E+00
2022_NIAWater_FieldBlank2,Blank,Field,Water,NIA,PFHpA,5.46E+03,2.52,3.98E+04,2.62,1.00E+00
2022_NIAWater_FieldSpike1,Spike,Field,Water,NIA,PFHpA,2.13E+04,2.53,4.70E+04,2.65,1.00E+00
2022_NIAWater_FieldSpike2,Spike,Field,Water,NIA,PFHpA,1.11E+04,2.51,3.47E+04,2.57,1.00E+00
2022_NIAWater_LabBlank,Blank,Lab,Water,NIA,PFHpA,3.02E+04,2.48,2.73E+04,2.56,1.00E+00
2022_NIAWater_Sample1,Sample,Field,Water,NIA,PFHpA,3.08E+04,2.42,3.00E+04,2.54,1.00E+00
2022_NIAWater_Sample2,Sample,Field,Water,NIA,PFHpA,3.73E+04,2.53,3.10E+04,2.65,1.00E+00
2022_NIAWater_Sample3,Sample,Field,Water,NIA,PFHpA,3.09E+04,2.54,3.29E+04,2.62,1.00E+00
2022_NIASediment_GroupA_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,0,5.80E+03,2.62,1.00E+00
2022_NIASediment_GroupA_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,1.35E+03,2.56,7.96E+03,2.65,1.00E+00
2022_NIASediment_GroupA_Sample,Sample,Field,Sediment,NIA,PFHpA,1.51E+03,2.55,7.25E+03,2.61,1.00E+00
2022_NIASediment_GroupA_Spike,Spike,Field,Sediment,NIA,PFHpA,2.34E+04,2.55,3.39E+03,2.61,1.00E+00
2022_NIASediment_GroupB_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,3.1,3.55E+03,2.66,1.00E+00
2022_NIASediment_GroupB_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,2.12E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Sample,Sample,Field,Sediment,NIA,PFHpA,6.22E+02,2.56,2.11E+03,2.63,1.00E+00
2022_NIASediment_GroupB_Spike,Spike,Field,Sediment,NIA,PFHpA,1.49E+04,2.5,1.91E+03,2.63,1.00E+00
2022_NIASediment_GroupE_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,2.05E+02,2.56,3.36E+03,2.61,1.00E+00
2022_NIASediment_GroupE_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,9.76E+02,2.64,1.00E+00
2022_NIASediment_GroupE_Sample,Sample,Field,Sediment,NIA,PFHpA,9.58E+02,2.41,1.42E+03,2.65,1.00E+00
2022_NIASediment_GroupE_Spike,Spike,Field,Sediment,NIA,PFHpA,4.93E+03,2.53,9.37E+02,2.62,1.00E+00
2022_NIASediment_GroupF_FieldBlank,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,0,1.39E+03,2.68,1.00E+00
2022_NIASediment_GroupF_LabBlank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,1.04E+03,2.65,1.00E+00
2022_NIASediment_GroupF_Sample,Sample,Field,Sediment,NIA,PFHpA,3.24E+02,2.54,7.81E+02,2.66,1.00E+00
2022_NIASediment_GroupF_Spike,Spike,Field,Sediment,NIA,PFHpA,9.23E+03,2.54,1.35E+03,2.63,1.00E+00
2022_NIABiota_GroupA_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,4.59E+02,2.54,7.38E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish1,Sample,Mortar,Biota,NIA,PFHpA,5.08E+02,2.51,3.85E+03,2.65,1.00E+00
2022_NIABiota_GroupA_Crayfish2,Sample,Mortar,Biota,NIA,PFHpA,6.06E+02,2.51,4.63E+03,2.63,1.00E+00
2022_NIABiota_GroupA_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,9.32E+03,2.54,6.39E+03,2.65,1.00E+00
2022_NIABiota_GroupA_MortarSpike,Spike,Mortar,Biota,NIA,PFHpA,1.68E+03,2.45,5.61E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish1,Sample,Blender,Biota,NIA,PFHpA,1.01E+03,2.59,4.42E+03,2.64,1.00E+00
2022_NIABiota_GroupA_Sunfish2,Sample,Blender,Biota,NIA,PFHpA,4.34E+04,2.52,7.14E+03,2.65,1.00E+00
2022_NIABiota_GroupB_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,8.59E+02,2.58,8.61E+03,2.63,1.00E+00
2022_NIABiota_GroupB_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,3.57E+02,2.51,3.40E+03,2.64,1.00E+00
2022_NIABiota_GroupB_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,6.89E+02,2.53,4.80E+03,2.66,1.00E+00
2022_NIABiota_GroupB_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,1.24E+04,2.54,2.77E+03,2.66,1.00E+00
2022_NIABiota_GroupB_Spider1,Sample,Homogenizer,Biota,NIA,PFHpA,9.99E+02,2.52,8.37E+03,2.63,1.00E+00
2022_NIABiota_GroupB_Spider2,Sample,Homogenizer,Biota,NIA,PFHpA,1.27E+03,2.49,1.05E+04,2.66,1.00E+00
2022_NIABiota_GroupB_Sunfish1,Sample,Blender,Biota,NIA,PFHpA,6.20E+02,2.55,6.29E+03,2.67,1.00E+00
2022_NIABiota_GroupB_Sunfish2,Sample,Blender,Biota,NIA,PFHpA,5.46E+04,2.54,7.68E+03,2.62,1.00E+00
2022_NIABiota_GroupC_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,0.00E+00,0,5.54E+03,2.64,1.00E+00
2022_NIABiota_GroupC_BlenderSpike,Spike,Blender,Biota,NIA,PFHpA,7.45E+02,2.69,2.46E+03,2.67,1.00E+00
2022_NIABiota_GroupC_Catfish1,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.08E+03,2.66,1.00E+00
2022_NIABiota_GroupC_Catfish2,Sample,Blender,Biota,NIA,PFHpA,1.40E+04,2.53,1.09E+03,2.67,1.00E+00
2022_NIABiota_GroupC_HomogenizerBlank,Blank,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,3.66E+03,2.65,1.00E+00
2022_NIABiota_GroupC_HomogenizerSpike,Spike,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.81E+03,2.64,1.00E+00
2022_NIABiota_GroupC_Shrimp1,Sample,Homogenizer,Biota,NIA,PFHpA,2.36E+02,2.68,2.26E+03,2.65,1.00E+00
2022_NIABiota_GroupC_Shrimp2,Sample,Homogenizer,Biota,NIA,PFHpA,1.00E+04,2.54,2.90E+03,2.66,1.00E+00
2022_NIABiota_GroupD_Crayfish1,Sample,Mortar,Biota,NIA,PFHpA,1.06E+03,2.55,6.78E+03,2.64,1.00E+00
2022_NIABiota_GroupD_Crayfish2,Sample,Mortar,Biota,NIA,PFHpA,9.93E+02,2.59,3.79E+03,2.64,1.00E+00
2022_NIABiota_GroupD_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,6.11E+02,2.57,3.20E+03,2.63,1.00E+00
2022_NIABiota_GroupD_MortarSpike,Spike,Mortar,Biota,NIA,PFHpA,3.63E+04,2.5,6.92E+03,2.64,1.00E+00
2022_NIABiota_GroupE_BlenderBlank,Blank,Blender,Biota,NIA,PFHpA,1.10E+03,2.52,9.21E+03,2.65,1.00E+00
2022_NIABiota_GroupE_Catfish,Sample,Blender,Biota,NIA,PFHpA,5.04E+02,2.54,3.43E+03,2.67,1.00E+00
2022_NIABiota_GroupE_MortarBlank,Blank,Mortar,Biota,NIA,PFHpA,1.13E+03,2.51,8.01E+03,2.63,1.00E+00
